"Region","Periodo","Gasto_Real_Mensual_PerCapita","Gasto_Nominal_Mensual_PerCapita"
Nacional,2024,891.2023315429686,783.3411865234375
Pasco,2014,604.941345214844,329.4565
Pasco,2015,625.829833984375,344.0153
Pasco,2016,646.4752807617188,364.6367
Pasco,2017,653.9931030273438,376.2944
Pasco,2018,696.2346801757812,407.329772949219
Pasco,2019,694.0219116210938,416.079803466797
Pasco,2020,596.4154052734375,362.247192382813
Pasco,2021,638.1810302734375,412.18896484375
Pasco,2022,688.9600219726562,492.806365966797
Pasco,2023,675.5525512695312,512.3021240234375
Pasco,2024,692.2762451171875,533.7619018554688
Piura,2014,835.907104492188,450.6987
Piura,2015,825.9266357421875,462.1919
Piura,2016,850.2152709960938,492.5509
Piura,2017,861.4602661132812,521.5321
Piura,2018,888.2919311523436,549.551879882813
Piura,2019,901.6517333984376,568.0927734375
Piura,2020,770.01806640625,499.205810546875
Piura,2021,870.5888671875,594.481811523438
Piura,2022,831.1878662109375,624.513244628906
Piura,2023,814.314208984375,645.560302734375
Piura,2024,848.1058349609375,673.927734375
Puno,2014,714.126647949219,379.2994
Puno,2015,669.4100952148438,364.9978
Puno,2016,683.265625,393.1287
Puno,2017,700.7344360351562,418.8931
Puno,2018,694.9708251953125,430.595275878906
Puno,2019,711.4011840820312,450.589904785156
Puno,2020,625.2177734375,402.047454833984
Puno,2021,631.0701293945312,422.344848632813
Puno,2022,650.3765869140625,474.220123291016
Puno,2023,636.9205322265625,497.7713012695313
Puno,2024,674.3960571289064,533.0481567382812
Rural,2014,521.134826660156,282.0731
Rural,2015,533.5693359375,293.7367
Rural,2016,540.16748046875,308.2437
Rural,2017,533.076416015625,313.4417
Rural,2018,543.894775390625,324.778167724609
Rural,2019,560.4088745117188,343.060577392578
Rural,2020,521.9168701171875,325.596710205078
Rural,2021,570.8604736328125,375.431427001953
Rural,2022,569.2304077148438,409.856719970703
Rural,2023,577.1525268554688,444.27880859375
Rural,2024,582.9903564453125,455.1188659667969
Tacna,2014,998.746704101563,600.8806
Tacna,2015,1009.2791137695312,617.5609
Tacna,2016,1000.2479858398438,633.1058
Tacna,2017,1014.6029052734376,657.5593
Tacna,2018,1038.0582275390625,689.886962890625
Tacna,2019,1035.041259765625,710.875854492188
Tacna,2020,861.8666381835938,605.166931152344
Tacna,2021,875.3580932617188,636.939025878906
Tacna,2022,938.3629150390624,743.290832519531
Tacna,2023,901.64013671875,756.2268676757811
Tacna,2024,915.1674194335936,777.6342163085938
Tumbes,2014,974.626098632813,530.1848
Tumbes,2015,997.921875,556.3922
Tumbes,2016,1020.2827758789062,589.8774
Tumbes,2017,1023.9922485351562,614.9355
Tumbes,2018,1022.5618286132812,626.861206054688
Tumbes,2019,1004.73974609375,634.538024902344
Tumbes,2020,835.9230346679686,548.163391113281
Tumbes,2021,887.3462524414062,613.848205566406
Tumbes,2022,889.5262451171875,671.904968261719
Tumbes,2023,867.621337890625,687.7841186523438
Tumbes,2024,866.9686279296875,689.139892578125
Ucayali,2014,784.587036132813,511.7231
Ucayali,2015,826.6954345703125,551.7265
Ucayali,2016,791.647216796875,548.3998
Ucayali,2017,783.6519775390625,552.7254
Ucayali,2018,795.0383911132812,569.624938964844
Ucayali,2019,783.1947631835938,574.272277832031
Ucayali,2020,722.5186767578125,543.029174804688
Ucayali,2021,738.2579956054686,595.851440429688
Ucayali,2022,698.698486328125,615.56640625
Ucayali,2023,716.658203125,657.6072998046875
Ucayali,2024,702.3511352539064,651.5149536132812
Urbana,2014,1046.6904296875,663.5148
Urbana,2015,1068.0421142578125,688.9216
Urbana,2016,1087.1356201171875,727.2808
Urbana,2017,1082.836669921875,746.2843
Urbana,2018,1096.8880615234375,769.299011230469
Urbana,2019,1102.615966796875,790.405822753906
Urbana,2020,910.606506347656,664.290649414063
Urbana,2021,959.9694213867188,736.226318359375
Urbana,2022,966.3052978515624,804.518920898438
Urbana,2023,954.499755859375,838.5218505859375
Urbana,2024,964.093505859375,860.9647216796875
Áncash,2014,876.710998535156,486.8411
Áncash,2015,877.078857421875,493.4836
Áncash,2016,886.0809326171875,520.1949
Áncash,2017,855.2911376953125,517.5245
Áncash,2018,868.9927978515625,534.588195800781
Áncash,2019,941.889892578125,594.676818847656
Áncash,2020,790.9117431640625,507.874938964844
Áncash,2021,889.1083984375,611.812438964844
Áncash,2022,905.570068359375,685.548828125
Áncash,2023,895.9935913085938,716.9863891601562
Áncash,2024,904.0238037109376,732.3754272460938
